main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
영상·사진·음향,영상촬영·편집,-,258,123,990000,3300000,5500000,748,"기업 관공서 홍보,제품 광고,SNS 바이럴 광고 제작해 드립니다.",왼손,https://kmong.com/gig/120864
영상·사진·음향,인터뷰 영상,-,313,76,700000,가격 없음,가격 없음,708,요즘 트렌드 인터뷰 영상 연출 촬영 편집하여 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161415
영상·사진·음향,드론 촬영,-,22,22,190000,350000,550000,22,국내 최고의 드론 항공 촬영 서비스를 제공해 드립니다.,에스제이드론,https://kmong.com/gig/316316
영상·사진·음향,성우,여성 성우,831,430,50000,80000,100000,407,여자성우 산뜻한 목소리로 녹음 연기해 드립니다.,백민경,https://kmong.com/gig/138626
영상·사진·음향,성우,여성 성우,1522,915,30000,50000,70000,506,"""친절하고 빠르게,모든 소리"" 로 녹음해 드립니다.",youllia,https://kmong.com/gig/74420
영상·사진·음향,애니메이션,-,52,35,1000000,2000000,3000000,132,다양한 분야의 애니메이션 콘텐츠 제작 해 드립니다.,1984스튜디오,https://kmong.com/gig/254962
영상·사진·음향,성우,남성 성우,1060,842,60000,100000,150000,444,"남자성우 한영 내레이션 더빙, 섬세하고 믿음가는 음성을 드립니다.",케이먼,https://kmong.com/gig/100615
영상·사진·음향,성우,여성 성우,1232,935,70000,120000,150000,575,"성우 양양 킬링보이스로 내레이션, 광고 등 녹음해 드립니다.",양양,https://kmong.com/gig/89810
영상·사진·음향,영상촬영·편집,-,73,37,660000,1650000,4400000,276,조회수UP 고퀄리티 영상 컨텐츠 제작해 드립니다.,영상쟁이들,https://kmong.com/gig/168426
영상·사진·음향,사진촬영,-,56,45,22000,110000,440000,383,오랜 기간의 노하우와 실력으로 좋은 결과물 만들어 드립니다.,스윙커머스,https://kmong.com/gig/228863
영상·사진·음향,사진촬영,-,307,247,200000,가격 없음,가격 없음,1249,"룩북,광고,화보,병원,행사,제품,사진,영상,음식 촬영해 드립니다.",Vintagefilm,https://kmong.com/gig/54388
영상·사진·음향,영상촬영·편집,-,444,7,990000,1980000,3300000,195,잘 팔리는 영상을 만들어 드립니다.,매진스튜디오,https://kmong.com/gig/110523
영상·사진·음향,영상촬영·편집,-,85,39,2200000,5500000,11000000,252,최고급 퀄리티로 트렌디한 홍보영상 제작해 드립니다.,본조,https://kmong.com/gig/234532
영상·사진·음향,인포·모션그래픽,-,41,35,400000,가격 없음,가격 없음,256,"'급한작업가능' 모션,인포그래픽, 기업홍보영상 작업해 드립니다.",모션그래픽바이럴영상,https://kmong.com/gig/274745
영상·사진·음향,영상촬영·편집,-,313,6,700000,1200000,2100000,134,SNS 광고할 바이럴 영상 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161217
영상·사진·음향,사진촬영,-,112,94,35000,185000,375000,414,제품의 이야기를 정성스럽게 담아 드립니다.,감각적식탁스튜디오,https://kmong.com/gig/190440
영상·사진·음향,사진촬영,-,17,7,180000,220000,1430000,451,"뷰티,룩북,뷰티 프로필,렌즈,화보,주얼리 촬영해 드립니다.",카이엔스튜디오,https://kmong.com/gig/228352
영상·사진·음향,성우,여성 성우,153,89,30000,100000,150000,114,"여자성우 광고 내레이션, 게임 캐릭터, ARS 녹음해 드립니다.",성우이유진,https://kmong.com/gig/291067
영상·사진·음향,사진촬영,-,590,406,11000,88000,440000,1196,"클라이언트 마음으로 제품,연출,누끼,광고,SNS촬영해 드립니다.",그랑팩토리,https://kmong.com/gig/104498
영상·사진·음향,사진촬영,-,472,223,16500,55000,242000,512,감성 충만한 제품 촬영 푸드 화장품 촬영 누끼 촬영해 드립니다.,스튜디오다름공간,https://kmong.com/gig/214562
영상·사진·음향,사진촬영,-,89,79,15000,40000,1200000,272,젠틀몬스터 출신 작가가 매출이 확 올라가는 사진 촬영해 드립니다.,브필스튜디오,https://kmong.com/gig/318869
영상·사진·음향,모델·MC·공연,MC,97,41,200000,300000,400000,74,아나운서 리포터 행사진행 홍보영상 제작의 품격을 높여 드립니다.,수아나,https://kmong.com/gig/174085
영상·사진·음향,사진촬영,-,422,249,11000,55000,110000,604,제품사진 누끼컷 연출컷 내상품이라는 마인드로 촬영해 드립니다.,STUDIO4A,https://kmong.com/gig/209216
영상·사진·음향,3D·VR,-,22,17,550000,8000000,15000000,175,"최상의 퀄리티 3D 모션그래픽, 3D 영상 제작해 드립니다.",JayJeon,https://kmong.com/gig/187493
영상·사진·음향,성우,여성 성우,237,137,30000,100000,120000,183,나긋한 여자목소리 신뢰감 있고 부드러운 목소리로 녹음해 드립니다.,모를,https://kmong.com/gig/202479
영상·사진·음향,성우,여성 성우,607,490,15000,40000,60000,276,여자성우 '다오' 친절하게 신속하게 품질 높은 녹음해 드립니다.,정다오,https://kmong.com/gig/125956
영상·사진·음향,3D·VR,-,9,7,6600000,11000000,22000000,26,하이엔드 퀄리티 3D 제작해 드립니다.,에이드림스튜디오,https://kmong.com/gig/282416
영상·사진·음향,유튜브 제작,-,267,194,40000,50000,80000,380,깔끔하고 센스있는 유튜브 영상 편집해 드립니다.,TM스튜디오,https://kmong.com/gig/186332
영상·사진·음향,사진촬영,-,278,207,10000,190000,350000,674,"복잡견적No 음식,제품사진 '무한촬영' or 알아서 해 드립니다.",춤추는포토그래퍼,https://kmong.com/gig/274654
영상·사진·음향,3D·VR,-,31,21,1500000,3000000,4000000,89,하이퀄리티의 3D영상을 제작해 드립니다.,SOAHNDESIGN,https://kmong.com/gig/246758
영상·사진·음향,성우,남성 성우,818,541,40000,80000,150000,357,"""밝은 중저음"" 남자성우, 누구보다 가치있는 목소리를 드립니다.",Voicezip,https://kmong.com/gig/115029
영상·사진·음향,애니메이션,-,16,16,800000,1400000,2400000,29,기획부터 제작까지 다 해결 유쾌한 애니광고 제작해 드립니다.,디케이영상제작,https://kmong.com/gig/359827
영상·사진·음향,인포·모션그래픽,-,116,71,880000,1210000,2750000,739,"트랜디하고 전달력있는 인포, 모션그래픽 제작해 드립니다.",영플리,https://kmong.com/gig/144688
영상·사진·음향,성우,여성 성우,1624,320,50000,100000,150000,274,최고등급 여성우 친근하고 익숙한 목소리로 녹음해 드립니다.,얀노,https://kmong.com/gig/211209
영상·사진·음향,모델·MC·공연,MC,17,15,250000,300000,500000,47,현직 아나운서가 탄탄한 발성으로 귀사에 품격을 더해 드립니다.,전해별,https://kmong.com/gig/354533
영상·사진·음향,사진촬영,-,10,8,100000,가격 없음,가격 없음,51,결이 살아있는 사진을 기획하고 촬영해 드립니다.,포토그래퍼추한솔,https://kmong.com/gig/362673
영상·사진·음향,영상촬영·편집,-,258,123,990000,3300000,5500000,748,"기업 관공서 홍보,제품 광고,SNS 바이럴 광고 제작해 드립니다.",왼손,https://kmong.com/gig/120864
영상·사진·음향,인터뷰 영상,-,313,76,700000,가격 없음,가격 없음,708,요즘 트렌드 인터뷰 영상 연출 촬영 편집하여 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161415
영상·사진·음향,드론 촬영,-,22,22,190000,350000,550000,22,국내 최고의 드론 항공 촬영 서비스를 제공해 드립니다.,에스제이드론,https://kmong.com/gig/316316
영상·사진·음향,성우,여성 성우,831,430,50000,80000,100000,407,여자성우 산뜻한 목소리로 녹음 연기해 드립니다.,백민경,https://kmong.com/gig/138626
영상·사진·음향,성우,여성 성우,1522,915,30000,50000,70000,506,"""친절하고 빠르게,모든 소리"" 로 녹음해 드립니다.",youllia,https://kmong.com/gig/74420
영상·사진·음향,애니메이션,-,52,35,1000000,2000000,3000000,132,다양한 분야의 애니메이션 콘텐츠 제작 해 드립니다.,1984스튜디오,https://kmong.com/gig/254962
영상·사진·음향,성우,남성 성우,1060,842,60000,100000,150000,444,"남자성우 한영 내레이션 더빙, 섬세하고 믿음가는 음성을 드립니다.",케이먼,https://kmong.com/gig/100615
영상·사진·음향,성우,여성 성우,1232,935,70000,120000,150000,575,"성우 양양 킬링보이스로 내레이션, 광고 등 녹음해 드립니다.",양양,https://kmong.com/gig/89810
영상·사진·음향,영상촬영·편집,-,73,37,660000,1650000,4400000,276,조회수UP 고퀄리티 영상 컨텐츠 제작해 드립니다.,영상쟁이들,https://kmong.com/gig/168426
영상·사진·음향,사진촬영,-,56,45,22000,110000,440000,383,오랜 기간의 노하우와 실력으로 좋은 결과물 만들어 드립니다.,스윙커머스,https://kmong.com/gig/228863
영상·사진·음향,사진촬영,-,307,247,200000,가격 없음,가격 없음,1249,"룩북,광고,화보,병원,행사,제품,사진,영상,음식 촬영해 드립니다.",Vintagefilm,https://kmong.com/gig/54388
영상·사진·음향,영상촬영·편집,-,444,7,990000,1980000,3300000,195,잘 팔리는 영상을 만들어 드립니다.,매진스튜디오,https://kmong.com/gig/110523
영상·사진·음향,영상촬영·편집,-,85,39,2200000,5500000,11000000,252,최고급 퀄리티로 트렌디한 홍보영상 제작해 드립니다.,본조,https://kmong.com/gig/234532
영상·사진·음향,인포·모션그래픽,-,41,35,400000,가격 없음,가격 없음,256,"'급한작업가능' 모션,인포그래픽, 기업홍보영상 작업해 드립니다.",모션그래픽바이럴영상,https://kmong.com/gig/274745
영상·사진·음향,영상촬영·편집,-,313,6,700000,1200000,2100000,134,SNS 광고할 바이럴 영상 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161217
영상·사진·음향,사진촬영,-,112,94,35000,185000,375000,414,제품의 이야기를 정성스럽게 담아 드립니다.,감각적식탁스튜디오,https://kmong.com/gig/190440
영상·사진·음향,사진촬영,-,17,7,180000,220000,1430000,451,"뷰티,룩북,뷰티 프로필,렌즈,화보,주얼리 촬영해 드립니다.",카이엔스튜디오,https://kmong.com/gig/228352
영상·사진·음향,성우,여성 성우,153,89,30000,100000,150000,114,"여자성우 광고 내레이션, 게임 캐릭터, ARS 녹음해 드립니다.",성우이유진,https://kmong.com/gig/291067
영상·사진·음향,사진촬영,-,590,406,11000,88000,440000,1196,"클라이언트 마음으로 제품,연출,누끼,광고,SNS촬영해 드립니다.",그랑팩토리,https://kmong.com/gig/104498
영상·사진·음향,사진촬영,-,472,223,16500,55000,242000,512,감성 충만한 제품 촬영 푸드 화장품 촬영 누끼 촬영해 드립니다.,스튜디오다름공간,https://kmong.com/gig/214562
영상·사진·음향,사진촬영,-,89,79,15000,40000,1200000,272,젠틀몬스터 출신 작가가 매출이 확 올라가는 사진 촬영해 드립니다.,브필스튜디오,https://kmong.com/gig/318869
영상·사진·음향,모델·MC·공연,MC,97,41,200000,300000,400000,74,아나운서 리포터 행사진행 홍보영상 제작의 품격을 높여 드립니다.,수아나,https://kmong.com/gig/174085
영상·사진·음향,사진촬영,-,422,249,11000,55000,110000,604,제품사진 누끼컷 연출컷 내상품이라는 마인드로 촬영해 드립니다.,STUDIO4A,https://kmong.com/gig/209216
영상·사진·음향,3D·VR,-,22,17,550000,8000000,15000000,175,"최상의 퀄리티 3D 모션그래픽, 3D 영상 제작해 드립니다.",JayJeon,https://kmong.com/gig/187493
영상·사진·음향,성우,여성 성우,237,137,30000,100000,120000,183,나긋한 여자목소리 신뢰감 있고 부드러운 목소리로 녹음해 드립니다.,모를,https://kmong.com/gig/202479
영상·사진·음향,성우,여성 성우,607,490,15000,40000,60000,276,여자성우 '다오' 친절하게 신속하게 품질 높은 녹음해 드립니다.,정다오,https://kmong.com/gig/125956
영상·사진·음향,3D·VR,-,9,7,6600000,11000000,22000000,26,하이엔드 퀄리티 3D 제작해 드립니다.,에이드림스튜디오,https://kmong.com/gig/282416
영상·사진·음향,유튜브 제작,-,267,194,40000,50000,80000,380,깔끔하고 센스있는 유튜브 영상 편집해 드립니다.,TM스튜디오,https://kmong.com/gig/186332
영상·사진·음향,사진촬영,-,278,207,10000,190000,350000,674,"복잡견적No 음식,제품사진 '무한촬영' or 알아서 해 드립니다.",춤추는포토그래퍼,https://kmong.com/gig/274654
영상·사진·음향,3D·VR,-,31,21,1500000,3000000,4000000,89,하이퀄리티의 3D영상을 제작해 드립니다.,SOAHNDESIGN,https://kmong.com/gig/246758
영상·사진·음향,성우,남성 성우,818,541,40000,80000,150000,357,"""밝은 중저음"" 남자성우, 누구보다 가치있는 목소리를 드립니다.",Voicezip,https://kmong.com/gig/115029
영상·사진·음향,애니메이션,-,16,16,800000,1400000,2400000,29,기획부터 제작까지 다 해결 유쾌한 애니광고 제작해 드립니다.,디케이영상제작,https://kmong.com/gig/359827
영상·사진·음향,인포·모션그래픽,-,116,71,880000,1210000,2750000,739,"트랜디하고 전달력있는 인포, 모션그래픽 제작해 드립니다.",영플리,https://kmong.com/gig/144688
영상·사진·음향,성우,여성 성우,1624,320,50000,100000,150000,274,최고등급 여성우 친근하고 익숙한 목소리로 녹음해 드립니다.,얀노,https://kmong.com/gig/211209
영상·사진·음향,모델·MC·공연,MC,17,15,250000,300000,500000,47,현직 아나운서가 탄탄한 발성으로 귀사에 품격을 더해 드립니다.,전해별,https://kmong.com/gig/354533
영상·사진·음향,사진촬영,-,10,8,100000,가격 없음,가격 없음,51,결이 살아있는 사진을 기획하고 촬영해 드립니다.,포토그래퍼추한솔,https://kmong.com/gig/362673
영상·사진·음향,사진촬영,-,511,333,150000,200000,300000,371,"인테리어 사진 촬영, 건축 인테리어, 공간디자인 촬영해 드립니다.",Youimage,https://kmong.com/gig/155326
영상·사진·음향,사진촬영,-,255,160,22000,가격 없음,가격 없음,434,"음식사진, 메뉴사진 출장 촬영해 드립니다.",감자팩토리,https://kmong.com/gig/257496
영상·사진·음향,성우,여성 성우,272,169,40000,70000,150000,196,성우 꿀봄 전문장비로 깨끗한 음질과 고품질 녹음을 드립니다.,성우꿀봄,https://kmong.com/gig/222912
영상·사진·음향,영상촬영·편집,-,87,27,1000000,3500000,6000000,110,경력 10년차의 프로 영상제작자 최고의 영상을 제작해 드립니다.,RyanTheProducer,https://kmong.com/gig/138641
영상·사진·음향,사진촬영,-,84,74,35000,200000,350000,170,"출장 음식사진,메뉴사진 촬영 전문작가가 맛과 멋을 담아 드립니다.",플래터20,https://kmong.com/gig/301357
영상·사진·음향,인포·모션그래픽,-,109,15,300000,900000,1500000,60,빠른 제작 가능 트렌디한 모션그래픽 영상 제작해 드립니다.,mediapalette,https://kmong.com/gig/303395
영상·사진·음향,모델·MC·공연,MC,49,37,275000,550000,770000,144,라이브커머스 쇼호스트가 연출부터 기획 방송까지 다 해 드립니다.,찐아,https://kmong.com/gig/326149
영상·사진·음향,온라인 생중계,-,127,36,550000,770000,990000,112,"유튜브,화상회의,라이브커머스 등 인터넷 방송 진행해 드립니다.",방송노예,https://kmong.com/gig/228036
영상·사진·음향,인포·모션그래픽,-,115,64,450000,750000,1100000,246,공익 캠페인 교육 안내영상 전문 고퀄 모션그래픽 제작해 드립니다.,balangraphics,https://kmong.com/gig/195803
영상·사진·음향,성우,남성 성우,647,436,50000,70000,80000,165,"내레이션,광고,게임,캐릭터,ARS,이러닝 등을 녹음해 드립니다.",voicewizard목소리마법사,https://kmong.com/gig/115666
영상·사진·음향,성우,남성 성우,238,121,50000,100000,150000,159,"고급진 목소리로 홍보영상, 광고, 기업 전문 녹음해 드립니다.",성우한호승,https://kmong.com/gig/158905
영상·사진·음향,인포·모션그래픽,-,65,33,400000,600000,1100000,135,"2D 모션그래픽, 인포그래픽 영상 제작해 드립니다.",ENEX,https://kmong.com/gig/206448
영상·사진·음향,성우,남성 성우,620,375,30000,50000,80000,193,스팟광고 내레이션 성우 달달한 중저음의 목소리로 녹음해 드립니다.,튜링보이스,https://kmong.com/gig/148360
영상·사진·음향,사진촬영,-,74,59,17000,45000,90000,244,"제품이 잘 보이는 깔끔한 사진, 확실한 결과물 보장해 드립니다.",OFFONstudio,https://kmong.com/gig/113603
영상·사진·음향,성우,남성 성우,324,217,60000,100000,140000,281,블리자드경력 빠른마감 트렌디한 최고의 중저음으로 작업해 드립니다.,트렌디한남성성우,https://kmong.com/gig/107498
영상·사진·음향,성우,여성 성우,381,222,30000,70000,100000,200,깔끔한 내레이션부터 자연스러운 일반인 느낌까지 작업해 드립니다.,선비,https://kmong.com/gig/116508
영상·사진·음향,모델·MC·공연,모델,148,109,55000,100000,400000,233,"8년 경력 여자모델, 뷰티모델, 광고모델, 피팅 모델해 드립니다.",모델나야,https://kmong.com/gig/279560
